美元	美元 $ 💵 💲
篮球运动员	篮球运动员 ⛹️‍♂️ ⛹️‍♀️
帐篷	帐篷 ⛺
加油站	加油站 ⛽
石油	石油 ⛽
剪刀	剪刀 ✂️
剪子	剪子 ✂️
对号	对号 ✅ ✔
对钩	对钩 ✅ ✔
答对	答对 ✅ ⭕
答对了	答对了 ✅ ⭕
旅行	旅行 ✈️
飞机	飞机 ✈️
信	信 ✉️
信件	信件 ✉️
信封	信封 ✉️
写信	写信 ✉️
举起拳头	举起拳头 ✊
举起的拳头	举起的拳头 ✊
握拳	握拳 ✊
举起的手	举起的手 ✋
击掌	击掌 ✋
手	手 ✋
手掌	手掌 ✋
两个	两个 ✌️
剪刀手	剪刀手 ✌️
和平手势	和平手势 ✌️
哦耶	哦耶 ✌️
成功	成功 ✌️
第二	第二 ✌️
耶	耶 ✌️
胜利	胜利 ✌️
赢了	赢了 ✌️
赢咯	赢咯 ✌️
赢啦	赢啦 ✌️
写	写 ✍️
写字	写字 ✍️
手写	手写 ✍️
铅笔	铅笔 ✏️
钢笔	钢笔 ✒️ 🖋
对	对 ✔ ✅ ⭕
正确	正确 ✔ ✅ ⭕
乘	乘 ✖️
乘以	乘以 ✖️
乘号	乘号 ✖️
十字架	十字架 ✝️
基督	基督 ✝️
基督教	基督教 ✝️
大卫之星	大卫之星 ✡️
金光闪闪	金光闪闪 ✨
金闪闪	金闪闪 ✨
闪亮	闪亮 ✨
闪光	闪光 ✨
闪耀	闪耀 ✨
八轮辐星号	八轮辐星号 ✳️
八角星	八角星 ✴️
雪	雪 ❄️
雪花	雪花 ❄️
叉	叉 ❌ ❎
叉叉	叉叉 ❌ ❎
画叉	画叉 ❌ ❎
答错	答错 ❌ ❎
答错了	答错了 ❌ ❎
错	错 ❌ ❎
错号	错号 ❌ ❎
错误	错误 ❌ ❎
问号	问号 ❓ ❔
白色问号	白色问号 ❔
白问号	白问号 ❔
白叹号	白叹号 ❕
白惊叹号	白惊叹号 ❕
白感叹号	白感叹号 ❕
白色叹号	白色叹号 ❕
白色惊叹号	白色惊叹号 ❕
白色感叹号	白色感叹号 ❕
叹号	叹号 ❗ ❕
惊叹号	惊叹号 ❗ ❕
感叹号	感叹号 ❗ ❕
心叹号	心叹号 ❣️
心在燃烧	心在燃烧 ❤️‍🔥
心在着火	心在着火 ❤️‍🔥
心火	心火 ❤️‍🔥
火上之心	火上之心 ❤️‍🔥
燃烧的心	燃烧的心 ❤️‍🔥
爱火	爱火 ❤️‍🔥
修复受伤的心灵	修复受伤的心灵 ❤️‍🩹
受伤的心	受伤的心 ❤️‍🩹
受伤的心灵	受伤的心灵 ❤️‍🩹
心伤	心伤 ❤️‍🩹
治愈的心	治愈的心 ❤️‍🩹
加	加 ➕
加号	加号 ➕
减	减 ➖
减号	减号 ➖
除	除 ➗
除以	除以 ➗
除号	除号 ➗
右	右 ➡️
右箭头	右箭头 ➡️
向右箭头	向右箭头 ➡️
卷曲环	卷曲环 ➰
双卷曲环	双卷曲环 ➿
向左箭头	向左箭头 ⬅️
左	左 ⬅️
左箭头	左箭头 ⬅️
上	上 ⬆️
上箭头	上箭头 ⬆️
向上箭头	向上箭头 ⬆️
下	下 ⬇️
下箭头	下箭头 ⬇️
向下箭头	向下箭头 ⬇️
小黑框	小黑框 ⬛
方形	方形 ⬛ ⬜
正方形	正方形 ⬛ ⬜
矩形	矩形 ⬛ ⬜
黑框	黑框 ⬛
小白框	小白框 ⬜
白框	白框 ⬜
五角星	五角星 ⭐
星星	星星 ⭐ 🌟 ✨
圆圈	圆圈 ⭕
波浪型破折号	波浪型破折号 〰️
波浪线	波浪线 〰️
歌记号	歌记号 〽️
祝	祝 ㊗️
祝福	祝福 ㊗️
秘	秘 ㊙️
人民币	人民币 ￥
日元	日元 ￥ 💴
日币	日币 ￥
中	中 🀄
红中	红中 🀄
麻将	麻将 🀄
joker	joker 🃏
大小王	大小王 🃏
大王	大王 🃏
小丑牌	小丑牌 🃏
小王	小王 🃏
鬼牌	鬼牌 🃏
A	A 🅰️
A型	A型 🅰️
A型血	A型血 🅰️
A血型	A血型 🅰️
血型	血型 🅰️ 🆎 🅱️ 🅾️
B	B 🅱️
B型	B型 🅱️
B型血	B型血 🅱️
B血型	B血型 🅱️
O	O 🅾️
O型	O型 🅾️
O型血	O型血 🅾️
O血型	O血型 🅾️
P	P 🅿️
parking	parking 🅿️
停车场	停车场 🅿️
停车按钮	停车按钮 🅿️
泊车	泊车 🅿️
AB	AB 🆎
AB型	AB型 🆎
AB型血	AB型血 🆎
AB血型	AB血型 🆎
clear	clear 🆑
清理	清理 🆑
清除	清除 🆑
cool	cool 🆒
很酷	很酷 🆒
特别酷	特别酷 🆒
超酷	超酷 🆒
酷	酷 🆒
free	free 🆓
免费	免费 🆓
自由	自由 🆓
身份	身份 🆔
new	new 🆕
全新	全新 🆕
新	新 🆕
新建	新建 🆕
新的	新的 🆕
NG	NG 🆖
重拍	重拍 🆖
SOS	SOS 🆘
救命	救命 🆘
救我	救我 🆘
救救我	救救我 🆘
求救	求救 🆘
求救信号	求救信号 🆘
求救讯号	求救讯号 🆘
up	up 🆙
升级	升级 🆙
顶	顶 🆙
Vs.	Vs. 🆚
对决	对决 🆚
对战	对战 🆚
对抗	对抗 🆚
比	比 🆚
比赛	比赛 🆚
阿森松	阿森松 🇦🇨
阿森松岛	阿森松岛 🇦🇨
安道尔	安道尔 🇦🇩
安道尔公国	安道尔公国 🇦🇩
阿拉伯	阿拉伯 🇦🇪
阿拉伯联合酋长国	阿拉伯联合酋长国 🇦🇪
阿富汗	阿富汗 🇦🇫
安巴	安巴 🇦🇬
安提瓜和巴布达	安提瓜和巴布达 🇦🇬
安圭拉	安圭拉 🇦🇮
阿尔巴尼亚	阿尔巴尼亚 🇦🇱
阿尔巴尼亚共和国	阿尔巴尼亚共和国 🇦🇱
亚美尼亚	亚美尼亚 🇦🇲
亚美尼亚共和国	亚美尼亚共和国 🇦🇲
安哥拉	安哥拉 🇦🇴
安哥拉共和国	安哥拉共和国 🇦🇴
南极洲	南极洲 🇦🇶
阿根廷	阿根廷 🇦🇷
阿根廷共和国	阿根廷共和国 🇦🇷
东萨摩亚	东萨摩亚 🇦🇸
美属萨摩亚	美属萨摩亚 🇦🇸
奥地利	奥地利 🇦🇹
奥地利共和国	奥地利共和国 🇦🇹
澳大利亚	澳大利亚 🇦🇺
澳大利亚联邦	澳大利亚联邦 🇦🇺
阿鲁巴	阿鲁巴 🇦🇼
奥兰	奥兰 🇦🇽
奥兰群岛	奥兰群岛 🇦🇽
阿赫韦南马	阿赫韦南马 🇦🇽
阿塞拜疆	阿塞拜疆 🇦🇿
阿塞拜疆共和国	阿塞拜疆共和国 🇦🇿
波斯尼亚和黑塞哥维那	波斯尼亚和黑塞哥维那 🇧🇦
波黑	波黑 🇧🇦
巴巴多斯	巴巴多斯 🇧🇧
孟加拉	孟加拉 🇧🇩
孟加拉国	孟加拉国 🇧🇩
比利时	比利时 🇧🇪
比利时王国	比利时王国 🇧🇪
布基纳法索	布基纳法索 🇧🇫
保加利亚	保加利亚 🇧🇬
保加利亚共和国	保加利亚共和国 🇧🇬
巴林	巴林 🇧🇭
巴林王国	巴林王国 🇧🇭
布隆迪	布隆迪 🇧🇮
布隆迪共和国	布隆迪共和国 🇧🇮
贝宁	贝宁 🇧🇯
贝宁共和国	贝宁共和国 🇧🇯
圣巴泰勒米	圣巴泰勒米 🇧🇱
百慕大	百慕大 🇧🇲
文莱	文莱 🇧🇳
文莱达鲁萨兰国	文莱达鲁萨兰国 🇧🇳
多民族玻利维亚国	多民族玻利维亚国 🇧🇴
玻利维亚	玻利维亚 🇧🇴
玻利维亚国	玻利维亚国 🇧🇴
荷属加勒比区	荷属加勒比区 🇧🇶
巴西	巴西 🇧🇷
巴西联邦	巴西联邦 🇧🇷
巴西联邦共和国	巴西联邦共和国 🇧🇷
巴哈马	巴哈马 🇧🇸
巴哈马国	巴哈马国 🇧🇸
不丹	不丹 🇧🇹
不丹王国	不丹王国 🇧🇹
布韦岛	布韦岛 🇧🇻
博茨瓦纳	博茨瓦纳 🇧🇼
博茨瓦纳共和国	博茨瓦纳共和国 🇧🇼
白俄	白俄 🇧🇾
白俄罗斯	白俄罗斯 🇧🇾
伯利兹	伯利兹 🇧🇿
加拿大	加拿大 🇨🇦
科科斯	科科斯 🇨🇨
科科斯（基林）群岛	科科斯（基林）群岛 🇨🇨
刚果	刚果 🇨🇩 🇨🇬
刚果民主共和国	刚果民主共和国 🇨🇩
刚果金	刚果金 🇨🇩
刚果（金）	刚果（金） 🇨🇩
中非	中非 🇨🇫
中非共和国	中非共和国 🇨🇫
刚果共和国	刚果共和国 🇨🇬
刚果布	刚果布 🇨🇬
刚果（布）	刚果（布） 🇨🇬
瑞士	瑞士 🇨🇭
瑞士联邦	瑞士联邦 🇨🇭
科特迪瓦	科特迪瓦 🇨🇮
科特迪瓦共和国	科特迪瓦共和国 🇨🇮
库克群岛	库克群岛 🇨🇰
智利	智利 🇨🇱
智利共和国	智利共和国 🇨🇱
喀麦隆	喀麦隆 🇨🇲
喀麦隆共和国	喀麦隆共和国 🇨🇲
中华人民共和国	中华人民共和国 🇨🇳
中国	中国 🇨🇳
五星红旗	五星红旗 🇨🇳
红旗	红旗 🇨🇳
哥伦比亚	哥伦比亚 🇨🇴
哥伦比亚共和国	哥伦比亚共和国 🇨🇴
克利珀顿岛	克利珀顿岛 🇨🇵
哥斯达黎加	哥斯达黎加 🇨🇷
哥斯达黎加共和国	哥斯达黎加共和国 🇨🇷
古巴	古巴 🇨🇺
古巴共和国	古巴共和国 🇨🇺
佛得角	佛得角 🇨🇻
佛得角共和国	佛得角共和国 🇨🇻
库拉索	库拉索 🇨🇼
圣诞岛	圣诞岛 🇨🇽
塞浦路斯	塞浦路斯 🇨🇾
塞浦路斯共和国	塞浦路斯共和国 🇨🇾
捷克	捷克 🇨🇿
捷克共和国	捷克共和国 🇨🇿
德国	德国 🇩🇪
德意志	德意志 🇩🇪
德意志联邦	德意志联邦 🇩🇪
德意志联邦共和国	德意志联邦共和国 🇩🇪
迪戈加西亚岛	迪戈加西亚岛 🇩🇬
吉布提	吉布提 🇩🇯
吉布提共和国	吉布提共和国 🇩🇯
丹麦	丹麦 🇩🇰
多米尼克	多米尼克 🇩🇲
多米尼克国	多米尼克国 🇩🇲
多米尼加共和国	多米尼加共和国 🇩🇴
阿尔及利亚	阿尔及利亚 🇩🇿
阿尔及利亚民主人民共和国	阿尔及利亚民主人民共和国 🇩🇿
休达	休达 🇪🇦
休达及梅利利亚	休达及梅利利亚 🇪🇦
休达和梅利利亚	休达和梅利利亚 🇪🇦
梅利利亚	梅利利亚 🇪🇦
厄瓜多尔	厄瓜多尔 🇪🇨
厄瓜多尔共和国	厄瓜多尔共和国 🇪🇨
爱沙尼亚	爱沙尼亚 🇪🇪
爱沙尼亚共和国	爱沙尼亚共和国 🇪🇪
埃及	埃及 🇪🇬
西撒哈拉	西撒哈拉 🇪🇭
厄立特里亚	厄立特里亚 🇪🇷
厄立特里亚国	厄立特里亚国 🇪🇷
西班牙	西班牙 🇪🇸
西班牙王国	西班牙王国 🇪🇸
埃塞俄比亚	埃塞俄比亚 🇪🇹
埃塞俄比亚联邦民主共和国	埃塞俄比亚联邦民主共和国 🇪🇹
欧洲联盟	欧洲联盟 🇪🇺
欧盟	欧盟 🇪🇺
芬兰	芬兰 🇫🇮
芬兰共和国	芬兰共和国 🇫🇮
斐济	斐济 🇫🇯
斐济共和国	斐济共和国 🇫🇯
福克兰群岛	福克兰群岛 🇫🇰
马尔维纳斯群岛	马尔维纳斯群岛 🇫🇰
密克罗尼西亚	密克罗尼西亚 🇫🇲
法罗群岛	法罗群岛 🇫🇴
法兰西	法兰西 🇫🇷
法兰西共和国	法兰西共和国 🇫🇷
法国	法国 🇫🇷
加蓬	加蓬 🇬🇦
大不列颠及北爱尔兰联合王国	大不列颠及北爱尔兰联合王国 🇬🇧
英伦	英伦 🇬🇧
英国	英国 🇬🇧
格林纳达	格林纳达 🇬🇩
格鲁吉亚	格鲁吉亚 🇬🇪
法属圭亚那	法属圭亚那 🇬🇫
根西岛	根西岛 🇬🇬
加纳	加纳 🇬🇭
加纳共和国	加纳共和国 🇬🇭
直布罗陀	直布罗陀 🇬🇮
格陵兰	格陵兰 🇬🇱
冈比亚	冈比亚 🇬🇲
冈比亚共和国	冈比亚共和国 🇬🇲
几内亚	几内亚 🇬🇳
几内亚共和国	几内亚共和国 🇬🇳
瓜德罗普	瓜德罗普 🇬🇵
赤道几内亚	赤道几内亚 🇬🇶
希腊	希腊 🇬🇷
希腊共和国	希腊共和国 🇬🇷
南乔治亚和南桑威奇群岛	南乔治亚和南桑威奇群岛 🇬🇸
危地马拉	危地马拉 🇬🇹
关岛	关岛 🇬🇺
几内亚比绍	几内亚比绍 🇬🇼
几内亚比绍共和国	几内亚比绍共和国 🇬🇼
圭亚那	圭亚那 🇬🇾
圭亚那合作共和国	圭亚那合作共和国 🇬🇾
中国香港	中国香港 🇭🇰
中国香港特别行政区	中国香港特别行政区 🇭🇰
香港	香港 🇭🇰
香港特别行政区	香港特别行政区 🇭🇰
赫德岛和麦克唐纳群岛	赫德岛和麦克唐纳群岛 🇭🇲
洪都拉斯	洪都拉斯 🇭🇳
洪都拉斯共和国	洪都拉斯共和国 🇭🇳
克罗地亚	克罗地亚 🇭🇷
克罗地亚共和国	克罗地亚共和国 🇭🇷
海地	海地 🇭🇹
海地共和国	海地共和国 🇭🇹
匈牙利	匈牙利 🇭🇺
加那利群岛	加那利群岛 🇮🇨
印度尼西亚	印度尼西亚 🇮🇩
印度尼西亚共和国	印度尼西亚共和国 🇮🇩
爱尔兰	爱尔兰 🇮🇪
爱尔兰共和国	爱尔兰共和国 🇮🇪
以色列	以色列 🇮🇱
以色列国	以色列国 🇮🇱
马恩岛	马恩岛 🇮🇲
印度	印度 🇮🇳
印度共和国	印度共和国 🇮🇳
英属印度洋领地	英属印度洋领地 🇮🇴
伊拉克	伊拉克 🇮🇶
伊拉克共和国	伊拉克共和国 🇮🇶
伊朗	伊朗 🇮🇷
伊朗伊斯兰共和国	伊朗伊斯兰共和国 🇮🇷
冰岛	冰岛 🇮🇸
意大利	意大利 🇮🇹
意大利共和国	意大利共和国 🇮🇹
泽西	泽西 🇯🇪
泽西岛	泽西岛 🇯🇪
牙买加	牙买加 🇯🇲
约旦	约旦 🇯🇴
约旦哈希姆王国	约旦哈希姆王国 🇯🇴
日本	日本 🇯🇵
日本国	日本国 🇯🇵
肯尼亚	肯尼亚 🇰🇪
肯尼亚共和国	肯尼亚共和国 🇰🇪
吉尔吉斯共和国	吉尔吉斯共和国 🇰🇬
吉尔吉斯斯坦	吉尔吉斯斯坦 🇰🇬
柬埔寨	柬埔寨 🇰🇭
柬埔寨王国	柬埔寨王国 🇰🇭
基里巴斯	基里巴斯 🇰🇮
基里巴斯共和国	基里巴斯共和国 🇰🇮
科摩罗	科摩罗 🇰🇲
科摩罗联盟	科摩罗联盟 🇰🇲
圣基茨和尼维斯	圣基茨和尼维斯 🇰🇳
北朝鲜	北朝鲜 🇰🇵
北韩	北韩 🇰🇵
朝鲜	朝鲜 🇰🇵
南朝鲜	南朝鲜 🇰🇷
南韩	南韩 🇰🇷
韩国	韩国 🇰🇷
科威特	科威特 🇰🇼
科威特国	科威特国 🇰🇼
开曼群岛	开曼群岛 🇰🇾
哈萨克斯坦	哈萨克斯坦 🇰🇿
哈萨克斯坦共和国	哈萨克斯坦共和国 🇰🇿
老挝	老挝 🇱🇦
老挝人民民主共和国	老挝人民民主共和国 🇱🇦
黎巴嫩	黎巴嫩 🇱🇧
黎巴嫩共和国	黎巴嫩共和国 🇱🇧
圣卢西亚	圣卢西亚 🇱🇨
列支敦士登	列支敦士登 🇱🇮
列支敦士登公国	列支敦士登公国 🇱🇮
斯里兰卡	斯里兰卡 🇱🇰
斯里兰卡民主社会主义共和国	斯里兰卡民主社会主义共和国 🇱🇰
利比里亚	利比里亚 🇱🇷
利比里亚共和国	利比里亚共和国 🇱🇷
莱索托	莱索托 🇱🇸
莱索托王国	莱索托王国 🇱🇸
立陶宛	立陶宛 🇱🇹
立陶宛共和国	立陶宛共和国 🇱🇹
卢森堡	卢森堡 🇱🇺
卢森堡大公国	卢森堡大公国 🇱🇺
拉脱维亚	拉脱维亚 🇱🇻
拉脱维亚共和国	拉脱维亚共和国 🇱🇻
利比亚	利比亚 🇱🇾
利比亚国	利比亚国 🇱🇾
摩洛哥	摩洛哥 🇲🇦
摩洛哥王国	摩洛哥王国 🇲🇦
摩纳哥	摩纳哥 🇲🇨
摩纳哥公国	摩纳哥公国 🇲🇨
摩尔多瓦	摩尔多瓦 🇲🇩
摩尔多瓦共和国	摩尔多瓦共和国 🇲🇩
黑山	黑山 🇲🇪
法属圣马丁	法属圣马丁 🇲🇫
马达加斯加	马达加斯加 🇲🇬
马达加斯加共和国	马达加斯加共和国 🇲🇬
马绍尔群岛	马绍尔群岛 🇲🇭
北马其顿	北马其顿 🇲🇰
北马其顿共和国	北马其顿共和国 🇲🇰
马里	马里 🇲🇱
马里共和国	马里共和国 🇲🇱
缅甸	缅甸 🇲🇲
缅甸联邦	缅甸联邦 🇲🇲
缅甸联邦共和国	缅甸联邦共和国 🇲🇲
蒙古	蒙古 🇲🇳
蒙古国	蒙古国 🇲🇳
中国澳门	中国澳门 🇲🇴
中国澳门特别行政区	中国澳门特别行政区 🇲🇴
澳门	澳门 🇲🇴
澳门特别行政区	澳门特别行政区 🇲🇴
北马里亚纳群岛	北马里亚纳群岛 🇲🇵
马提尼克	马提尼克 🇲🇶
