#兼容所有拼音类型的公共简码库	
gj	感觉	根据	关键
ir	承认	超人	传染
if	除非	拆分	长发
is	场所	传送	重塑
ij	持久	陈旧	车间
iy	持有	创意	穿越
iu	传说	充实	纯属
id	程度	传导	垂钓
ik	出口	重开	抽空
jx	就像	进行	江西
jp	键盘	精品	奖品
jy	精英	迥异	建议
ji	经常	奖惩	检察
jn	江南	均能	今年
jq	进去	将其	借钱
ju	就是	军师	结束
jr	迥然	进入	今日
kd	肯定	看到	宽带
kf	开发	客服	咖啡
kh	看好	口号	恐慌
ks	快速	亏损	看似
ka	可爱	口岸	酷爱
ke	烤鹅
kg	考古	快感	跨过
kk	看看	开口	慷慨
kr	客人	困扰	宽容
kv	看着	扩展	夸张
kw	口味	考完	矿物
kz	开在	快走	看在
kl	快了	哭了	可怜
kj	空间	框架	快捷
ku	扣税	快说	阔少
kc	咔嚓	喀嚓	空仓
ld	拉倒	劳动	流动
lh	灵活	来回	拉黑
lm	里面	乱码	喇嘛
lp	楼盘	两瓶	拉票
lq	力气	录取	乐趣
lr	列入	流入	懒人
ls	拉萨	勒索	朗诵
lv	两张	留着	拉着
lw	另外	辣味	来往
lx	练习	类型	楼下
ly	留言	乐园	洛阳
lg	两个	老公	理工
lu	楼上	冷水	老实
lz	来自	卵子	老早
lt	连同	乐天	裸体
lj	链接	两句	乐见
ll	累了	另类	榴莲
la	冷傲	立案
lc	两次	冷藏	留存
li	列出	流畅	疗程
ln	两年	列宁	冷暖
lb	列表	领班	两遍
lk	留空	脸孔	立刻
ma	明暗	马鞍	谜案
mb	明白	毛病	漫步
mh	梦幻	民航	谋划
mj	面积	民间	灭绝
mg	每个	敏感	芒果
mn	迷你	闽南	某年
mz	名字	民族	妹子
mi	门窗	牧场	冒出
mk	门口	满口	模块
mu	谋杀	门市	蔑视
mf	麻烦	免费	没法
mm	明明	命名	慢慢
me	名额	面额
mc	每次	某次	卖出
nc	那次	哪次	农村
nd	你的	内地	虐待
ne	哪儿	鸟儿	男儿
ng	那个	能够	哪个
nh	你好	女孩	内涵
ni	奶茶	拿出	鸟巢
nl	那里	能力	年龄
nm	你们	那么	农民
nq	年轻	拿起	女权
nt	哪天	女童	农田
nv	那种	哪种	扭转
nx	哪些	男性	内心
nz	男子	女子	内在
nf	能否	南方	奶粉
nj	年级	农家	凝聚
nk	耐看	扭亏	鸟瞰
nn	年内	暖暖	尿尿
nu	女生	牛市	能说
ns	浓缩	南宋	暖色
nr	内容	女人	男人
pg	苹果	排骨	偏高
ph	平衡	配合	破坏
pi	品尝	普查	赔偿
pp	批评	批判	匹配
pj	偏见	判决	票据
pz	瓶子	痞子	飘走
pc	配菜	泡菜	破财
pm	排名	泡沫	剖面
pn	叛逆	泡妞	排尿
pa	偏爱	破案	拍案
pf	平凡	篇幅	喷发
pb	旁边	配备	漂泊
pk	撇开	剖开	盘亏
qp	俏皮	钦佩	全屏
qy	球员	却又	惬意
qm	前面	清明	且慢
qn	青年	却能	怯懦
qs	切碎	青涩	秋色
qt	其他	群体	晴天
qq	悄悄	求求	请求
qu	其实	强势	权势
qi	清楚	切除	翘楚
qx	取消	求学	情绪
qr	确认	穷人	恰如
ri	日常	让出	扔出
rr	仍然	日日	柔软
rv	认真	忍着	任职
rh	然后	如何	柔和
rj	软件	人家	仍旧
rs	染色	热死	认识
ru	入手	瑞士	仍是
rf	染发	润肤	人防
re	然而	入耳
sh	时候	搜狐	撒谎
sj	时间	数据	撒娇
su	算术	扫射	撒手
sg	三个	四个	送给
si	俗称	赛场	送出
sr	虽然	骚扰	酸软
sv	随着	三种	赛制
ss	搜索	色素	算算
so	丧偶
sf	算法	缩放	三方
se	孙儿
ti	填充	特长	弹出
tr	突然	他人	太热
tv	体制	途中	太重
th	体会	太好	桃花
tj	条件	投机	囤积
tp	图片	投票	逃跑
tu	听说	特殊	跳水
te	胎儿	天鹅	徒儿
tg	提高	团购	特工
tc	推测	特此	搪瓷
tm	他们	她们	它们
ts	特色	投诉	推送
ta	图案	天啊	疼爱
tk	挺快	推开	偷窥
tz	帖子	天子	毯子
ty	同样	天涯	体育
uf	身份	双方	上方
ug	身高	说过	帅哥
uh	伤害	生活	社会
ul	上来	说了	设立
uv	甚至	说着	谁知
uz	傻子	涉足	绳子
ue	首尔	少儿	税额
ui	时常	少吃	说出
ur	生日	双人	烧肉
uy	使用	属于	上演
uk	上课	水库	收看
ua	涉案	上岸	是啊
uj	时间	收集	生姜
uw	水位	说完	奢望
ud	收到	受到	说道
vg	这个	中国	整个
vl	这里	周六	赚了
vs	正是	折算	撞死
vw	周围	这位	追尾
vi	找出	忠诚	追查
vr	找人	准入	折让
vz	正在	站在	桌子
vk	状况	这款	展开
ve	这儿	中俄
vh	只会	正好	账号
vv	这种	真正	战争
vj	直接	专家	洲际
va	钟爱	这啊	专案
vd	知道	这点	终点
vf	中方	政府	支付
vu	只是	只剩	忠实
wg	外观	我国	违规
wj	挖掘	稳健	旺季
wf	无非	微风	歪风
wh	外汇	往后	文化
xs	吓死	形似	血色
xi	行程	学成	形成
xp	行骗	吓跑	新品
xr	显然	形容	血肉
xn	想念	匈奴	学年
xq	下去	象棋	秀气
xx	谢谢	想想	休息
xm	下面	学名	熊猫
xu	小时	学生	虚实
yh	要好	迎合	圆滑
ys	意思	有所	也算
yu	于是	原始	钥匙
yt	樱桃	液态	犹太
yz	样子	严重	原则
ye	婴儿
yr	圆润	萦绕	有人
yy	一样	应用	意义
ya	冤案
yb	一般	月报	样本
zg	最高	足够	糟糕
zh	最后	做好	走好
zs	走私	再三	作祟
zv	阻止	增长	尊重
zz	坐在	最早	足足
zf	字符	总分	罪犯
zr	自然	责任	早日
zi	组成	作出	走出
zu	则是	走势	暂时
za	最爱	阻碍	作案
ze	总额	罪恶
aaa	啊啊啊
add	啊对对	矮墩墩
adl	奥地利	按道理	暗地里
adm	奥达曼
agd	按规定
ahv	爱好者
ajd	安静的	安静点
alg	安了个
alh	安理会	阿喽哈	阿里汉
als	爱丽丝	安乐死
alw	安乐窝	埃里温
aqd	安全带	安全的
aqk	安全裤
atm	奥特曼
avd	挨着的
axx	爱学习
ayh	奥运会	哎呦呵	爱一行
baq	不安全	宝安区
bbb	不不不	别别别
bbk	不包括	比比看	背包客
bbl	比不了	巴比伦	八百里
bbm	帮帮忙	把把脉	白帮忙
bbn	并不能	八百年
bbp	抱不平
bbu	并不是	比不上	摆摆手
bbv	憋不住	绷不住	保不住
bbz	半辈子	拜把子	包包子
bcz	不存在
bda	不对啊
bdb	不得不	不达标
bdd	不单单	不动点	不对的
bde	半点儿	半道儿
bdf	贝多芬	白癜风
bdg	白大褂
bdh	本地化	北戴河	北大荒
bdi	不动产	不对称	白帝城
bdj	不对劲	被大家
bdl	不得了	背地里	不打了
bdm	帮倒忙
bdq	不定期	冰冻期	本地区
bdr	本地人	班得瑞
bds	不打算	被打死	变电所
bdt	半导体	不对头
bdu	表达式
bdw	本单位	不倒翁	不等我
bdx	北斗星	不动心	不得行
bdy	不等于	不得已	不答应
beg	巴尔干
beh	北二环
bei	板儿车
bej	白垩纪
bek	波尔卡
ben	伯尔尼	包二奶
bex	不二心
bfg	避风港
bfl	爆发力	百分率
bfp	捕风瓶
bfq	播放器	不服气	别放弃
bfu	比方说
bfx	不放心	暴风雪	被发现
bga	并购案
bge	冰棍儿	饱嗝儿
bgl	办公楼	不归路	不管了
bgn	不给你	布谷鸟
bgp	不公平
bgq	办公区
bgr	被告人
bgv	办公桌	半个钟
bgy	半个月	不管用	不甘于
bha	不会啊
bhk	报户口
bhl	不合理	不回来	捕获量
bhn	薄荷脑	不好弄
bhq	保护区	不合群	不回去
bhx	不和谐	保护性
bhz	不会再
bil	不出来	不成立
bjb	笔记本
bjk	不健康
bjn	比基尼	比较难
bjq	编辑器	不久前	报警器
bju	北京市	绊脚石	毕竟是
bkl	不考虑	伯克利	包括了
bkn	不可能	不可逆
bkq	不客气
bkx	不科学	不开心
bli	暴露出	玻璃窗	碧螺春
blj	不了解	不理解	八路军
blp	玻璃瓶	舶来品	菠萝啤
blt	便利贴	柏拉图	巴雷特
blv	避雷针	玻璃珠	八里庄
blx	不理想	玻璃心	波浪形
blz	半拉子	冰溜子	伯利兹
bna	不能啊
bnk	不能看
bny	不能有	不能用	保暖衣
bnz	白娘子	不能在
bpa	保平安
bpd	不平等
bpg	变频管
bph	不平衡	白平衡	不配合
bpi	不排除	不平常	不排斥
bpl	被骗了
bpn	不骗你
bpp	不匹配
bpq	变频器
bpu	白皮书	不怕事
bqb	表情包
bqe	白求恩
bqf	版权法
bqg	不奇怪	版权归	补墙膏
bqh	搬迁户
bqi	不清楚	不牵扯
bqj	闭区间	白切鸡	版权局
bql	比起来	冰淇淋	不去了
bqn	并且能	比丘尼
bqu	并且是
bqy	标签页	不起眼	不情愿
brc	百日草
brd	不人道	别人的	不认得
brh	白热化	百日红
brj	别人家
brk	被认可
brl	不入流
brm	白日梦	白日门
brn	不然呢	不惹你
brq	哺乳期	不让去
bru	比如说	不如说	不认识
brw	不认为
bry	不容易	不如意
bsb	不是吧	比萨饼
bsd	不是的	波塞冬
bse	贝赛尔
bsg	不是个	变速杆
bsl	变色龙
bum	不是吗
bsu	不是说	不算数	不算事
bta	变态啊
btb	比特币
btd	不同的	不停地	标题党
bth	不太好	本土化	不太会
btk	不痛快
btl	拜托了	别提了	标题栏
btx	不太行	不太像	扁桃腺
bty	不同于	不同意	不统一
bub	不是吧	不上班
bud	波士顿	不舍得	辨识度
bug	不是个
buh	不适合	不说话	博士后
bul	不说了	不少了	伴手礼
buq	半衰期	保税区
bva	编者按
bvb	标准版
bvd	不知道	不值得	不着调
buf	不舒服	标识符
bvg	把这个	包装工
bvh	标准化	包装盒
bvi	不支持	标准差	不正常
bvk	标准库
bvl	板着脸	备注栏
bvp	标志牌
bvq	不正确	不值钱	保质期
bvr	班主任	保证人
bvt	拜占庭	不中听	不折腾
bvu	本质上	不只是	保证书
bvv	标志着	标准值
bvw	不指望	杯中物	标志物
bvx	标志性	半炷香	不珍惜
bvy	不至于	不重要	别这样
bwb	保温杯
bwd	不稳定	北温带	保温袋
bwe	不玩儿	鲍威尔
bwg	博物馆
bwl	备忘录
bwn	不为难
bwp	保温瓶
bwq	不完全	包围圈	抱委屈
bxa	不行啊
bxd	不晓得	保险单	不行的
bxf	保险费	不相符	变戏法
bxh	不喜欢	不像话	不稀罕
bxi	表现出	不相称	别瞎扯
bxj	步行街	保险金	变形记
bxk	必修课	保修卡
bxl	不行了	表现力	不限量
bxn	不像你	不信呢	不行呢
bxq	保修期	白血球	不想去
bxs	不逊色	保险丝
bxt	本系统
bxu	半小时	便携式	八小时
bxv	剥削者	八仙桌
bxw	表现为	不希望	不想玩
byk	不要看	不愉快	半月刊
byn	比翼鸟	百余年	不油腻
byq	编译器	变压器	不要钱
byv	不一致	毕业证
byy	不一样	不愿意	不亚于
bzd	半自动
cbc	从不曾	猜不猜
cbh	才不会	从不会	从背后
cbq	擦边球	凑不齐
cbx	才不信
ccy	曾参与
cgb	从根本
chl	词汇量	存活率	才回来
cjg	粗加工	才几个
cld	催泪弹	才来的
cnl	从哪里
cpg	擦屁股	裁判官
cvl	猜中了
cyc	催一催	猜一猜	凑一凑
cyg	曾有过	测压管
cyx	催一下
dbg	打不过	大半个	都不敢
dbh	都不会	东北虎	都不好
dbl	大不了	打不了	倒闭了
dbn	都不能	但不能	大半年
dbp	都不怕
dbq	对不起	都不缺
dbs	倒不是	打不死	都不算
ddd	端到端	打点滴
ddf	的地方	冻豆腐
ddh	打电话	丹顶鹤	堵得慌
ddt	点点头
ddu	大多数	到底是	多的是
ddv	东道主	对得住	等待着
ddx	的东西
ddz	大动作	打底子
kfv	开发者
dfk	豆腐块
dfn	豆腐脑	答复你
dft	答复他
dfu	电风扇	地方税	地方上
dfw	大范围	丢饭碗	答复我
dgf	大锅饭	得高分
dgs	打官司	大公司
dhe	等会儿	待会儿	大伙儿
dhl	带回来	打呼噜	德黑兰
djh	大家好	大家伙
djj	大结局	对讲机	大姐姐
djl	多久了
djt	电吉他	单晶体	第几天
djz	单子	大舅子
dkl	抵抗力	多亏了	打开了
dkt	大块头
dlv	顶梁柱	第六章
dml	都没了	达美乐
dnd	等你到	电脑端
dng	都能够
dnv	电脑桌	打内战
dnx	对那些
dpb	的旁边
dql	打起来	动起来	躲起来
dqr	地球人	地球日
dqu	大趋势	的确是
dqx	大清洗	道歉信	地区性
dqy	大企业	大气压
dqz	大清早	兜圈子	盗窃罪
dsb	第三遍	第三步
dsf	第三方	第三份
duj	电视剧	电视机
dsv	第三种	第三者
dtu	大体上	地头蛇	但同时
dtx	独特性	打天下
duh	的时候	到时候	董事会
dur	当事人	多少人	低收入
duu	的身上
dux	都是些	代数学
dvh	打招呼	地中海	大众化
dvl	电渣炉	呆住了
dvy	都这样	党中央
dvz	兜着走	大制作
dwd	等我到	低纬度
dwj	端午节	第五季
dwl	都忘了	都完了	耽误了
dwt	等问题
dwv	队伍中	单位制
dwx	等温线	等我下
dxw	定心丸	都希望
dyl	第一轮	大意了	独眼龙
dyp	电影票	单眼皮	代用品
dyv	第一种	大洋洲
dyz	多音字	的样子
dzc	倒栽葱
dzj	打字机	对自己
dzl	肚子里	都走了	电子流
dzp	动作片
dzr	大自然
dzv	党组织	打嘴仗
dzy	打字员
ebd	二把刀
ebu	而不是	二把手
ebw	二百五	二百万
ecy	二次元
egz	耳刮子	二狗子
eht	二婚头
ejv	二进制	恶即斩
elm	饿了么
els	俄罗斯	二〇三	二〇四
elz	二流子	二愣子
epf	耳旁风
ewm	二维码	而我们
ezj	恶作剧
fbd	防波堤
fbf	烦不烦	服不服
fbu	分布式	封闭式	分别是
fdj	发动机	发电机	放大镜
fdl	发达了
fdx	放得下	发短信
ffv	分分钟	分封制
fgl	反过来
fhb	发红包	防化兵
fhl	肺活量	防护林	复活了
fhq	防火墙	孵化器
fih	非常好	非常坏
fil	放出来	反潮流	非常冷
fku	费口舌	分开说
flb	菲律宾	复录比
fld	反垄断	法拉第	分量大
flf	翻了翻	福利费	福利房
flh	风凉话	氟利昂	分类号
fln	服了你
flx	法兰西	分量小	非理性
fmg	父母官
fmq	父母亲	发明权	房门前
fmr	发明人	复明日
fnl	负能量	服你了	放牛郎
fqj	番茄酱	反潜机	发请柬
fql	放弃了	飞起来	发起了
fqw	废弃物	富趣味
frl	否认了	发热量
fud	发生的
fsl	烦死了	放松了
fsu	分散式
fsz	分散在
ftz	繁体字	发帖子
fvb	纺织部	放这吧
fvl	非主流	负债率	附着力
fvm	辅助码	非著名
fvu	反正是	发展史
fvx	辅助性	放长线	副主席
fwd	服务端
fwq	服务器
fwr	防污染
fwt	防卫厅	发完贴
fxb	风向标	发行版
fxl	发现了	放心了	返修率
fxp	方向盘	氟西泮
fxq	飞行器	分析器
fxx	非线性	方向性	风萧萧
fyf	翻一翻	抚养费
fyr	发言人	反应热	抚养人
fzr	负责人	负责任
gcd	刚才的
gcl	搞错了	棺材里
gcm	各层面	干脆面
gdl	搞定了
gdv	够得着	管得着
gdx	过渡性	鬼东西
gdy	古典乐	干瞪眼
gfl	搞反了	鼓风炉	国富论
gfv	股份制
ggx	高跟鞋
ggz	高个子
ghg	共和国	观后感
gid	观察到	共产党	滚床单
gil	观察力	滚出来	赶潮流
giq	滚出去	刚出去	赶出去
giv	过程中	观察者	管吃住
gku	刚开始	改口说
gll	过来了	孤零零	高利率
glv	橄榄枝
gly	管理员	鼓浪屿	橄榄油
gmb	搞明白
gmd	国民党	高密度	古明地
gme	哥们儿	赶明儿	改明儿
gmg	鬼门关	跟美国
gml	购买力	根目录	感冒了
gmn	干嘛呢
gmt	各媒体	灌米汤
gmu	跟没说
gqu	过去时	高情商	感情上
grz	过日子	果然在
gsn	告诉你
gtt	共同体	光秃秃	甘特图
gtz	狗腿子	赶他走
gul	过时了
gwi	购物车
gxh	个性化	关系户	更喜欢
gxl	高效率	公信力	更新了
gxn	高性能	感谢你
gxq	感兴趣	滚雪球
gxu	更像是	刚想说	管闲事
gxx	感谢信	共享下
gyb	雇佣兵	工业部	过一遍
gyg	高压锅	狗咬狗	更应该
gyh	工业化
gyl	供应链	够用了
gyu	更衣室
gzl	工作量	骨子里	瓜子脸
gzu	工作室	工作上	刽子手
gzv	工作者	高增长	工作证
hbd	恨不得	还不到	荷包蛋
hbh	会不会	好不好
hbl	回报率	回不来	花不了
hbn	还不能	很别扭	何必呢
hbx	还不行	后备箱	还必须
hdl	好多了	合得来	活到老
hdt	好多天	核冬天
hej	华尔街	花儿匠	合恩角
hez	华尔兹	好儿子
hgr	回锅肉	韩国人
hgt	回过头	还给他
hgu	H股	花果山	回过神
hhb	还好吧	黄褐斑	豪华版
hhh	哈哈哈	好好好	黑乎乎
hhl	黄昏恋	还好了
